chembl_compound_id,canonical_smiles,np_likeness (NP-Scout),macrocyclic_label
CHEMBL3207906,C[C@H]1CCC[C@@H](O)CCC(=O)O[C@]23[C@@H](\C=C\C1)[C@H](O)C(=C)[C@@H](C)C2[C@H](Cc4ccccc4)NC3=O,0.99,macrocyclic
CHEMBL2105866,[Na+].[Na+].CC1=C(C=C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)c(C)c5CCC(=O)[O-])c(CCC(=O)[O-])c4C)c(C=C)c3C,0.89,macrocyclic
CHEMBL2063089,COc1ccc2nc3CCCCC[C@@H]4C[C@H]4OC(=O)N[C@H](C(=O)N5C[C@@H](C[C@H]5C(=O)N[C@@]6(C[C@H]6C=C)C(=O)NS(=O)(=O)C7CC7)Oc3cc2c1)C(C)(C)C,0.25,macrocyclic
CHEMBL2063090,COc1ccc2nc3CCCCC[C@@H]4C[C@H]4OC(=O)N[C@H](C(=O)N5C[C@@H](C[C@H]5C(=O)N[C@@]6(C[C@H]6C=C)C(=O)NS(=O)(=O)C7CC7)Oc3nc2c1)C(C)(C)C,0.25,macrocyclic
CHEMBL599872,CC(C)(C)[C@@H]1NC(=O)OCC(C)(C)CCCCc2cccc3CN(Cc23)C(=O)O[C@@H]4C[C@H](N(C4)C1=O)C(=O)N[C@@]5(C[C@H]5C=C)C(=O)NS(=O)(=O)C6CC6,0.32,macrocyclic
CHEMBL3356719,CCC[C@H](NC(=O)[C@H]1NC(=O)[C@@H](NC(=O)OCC\C=C\c2cc(Oc3ccc1cc3)nc(n2)c4ccccc4)C(C)(C)C)C(=O)NS(=O)(=O)CCCC=C,0.18,macrocyclic
CHEMBL125088,CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)C1=O)\C)\C)C2=O,0.91,macrocyclic
CHEMBL109480,CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,0.91,macrocyclic
CHEMBL446955,CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1OC)\C)\C)C2=O,0.91,macrocyclic
CHEMBL377559,Cl.CO[C@H]1C[C@H](C)Cc2c(O)c(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)cc(O)c2NCC=C,0.89,macrocyclic
CHEMBL506339,CO[C@H]1C[C@H](C)CC2=C(N3CCC3)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1OCC=C)\C)\C)C2=O,0.53,macrocyclic
CHEMBL160223,C=CCc1ccc2Oc3cc(Cn4cncc4CN5CCN(Cc1c2)C(=O)C5)ccc3C#N,0.2,macrocyclic
CHEMBL94657,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\C(=C\c3csc(C)n3)\C,1,macrocyclic
CHEMBL2369779,CC(C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](CC(=O)C)NC(=O)[C@H](Cc2ccccc2)NC1=O,0.86,macrocyclic
CHEMBL224003,CC(=O)N1CCN(CC1)[C@@H]2CC(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@H](Cc6ccccc6)CNC2=O,0.21,macrocyclic
CHEMBL445236,CC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2c[nH]cn2)N3[C@H](O)C[C@H](NC(=O)[C@H]4CCCN4C1=O)C3=O,0.98,macrocyclic
CHEMBL369309,CC(C)C[C@H]1NC(=O)[C@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@@H](CSC(=O)[C@H](Cc2ccccc2)NC1=O)NC(=O)C,0.85,macrocyclic
CHEMBL2371456,CN1[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(=O)N)C(C)(C)SSC[C@H](NC(=O)C)C1=O,0.79,macrocyclic
CHEMBL2370397,CN1[C@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](C(=O)N)C(C)(C)SSC[C@@H](NC(=O)C)C1=O,0.79,macrocyclic
CHEMBL351938,CC(=O)N[C@@H]1CSSC(C)(C)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCN=C(N)N)NC1=O)C(=O)N,0.81,macrocyclic
CHEMBL421348,CC(=O)N[C@@H]1CSSC[C@@H](NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCN=C(N)N)NC1=O)C(=O)O,0.88,macrocyclic
CHEMBL324568,CN1[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CSSC[C@H](NC(=O)C)C1=O)C(=O)N,0.85,macrocyclic
CHEMBL320288,CC(=O)N[C@@H]1CSSC[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCN=C(N)N)NC1=O)C(=O)N,0.87,macrocyclic
CHEMBL85928,CC(=O)N[C@@H]1Cc2ccc(Oc3cc(C[C@@H](NC(=O)[C@H](Cc4ccc(O)cc4)NC1=O)C(=O)O)ccc3O)cc2,0.6325010340100226,macrocyclic
CHEMBL232551,CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc3ccccc3CCCNC(=O)[C@H](CNC(=O)C)NC1=O,0.64,macrocyclic
CHEMBL1949732,CN1[C@H](CCCNC(=O)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc4ccc(O)cc4)C1=O,0.84,macrocyclic
CHEMBL1949675,CN1[C@H](CCCNC(=O)C)C(=O)N[C@@H](CCCNC(=O)N)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc4ccc(O)cc4)C1=O,0.63,macrocyclic
CHEMBL361449,CC(=O)NCCCC[C@@H]1NC(=O)[C@@H](CN(O)C=O)CCCCCCCCCNC1=O,0.91,macrocyclic
CHEMBL566641,CC(C)C[C@H]1CC(=O)N[C@@H](CCCCNC(=O)C)C(=O)N[C@@H](CSCCC(=O)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1,0.83,macrocyclic
CHEMBL569674,CC(C)C[C@H]1CC(=O)N[C@@H](CCCCNC(=O)C)C(=O)N[C@@H](CCCCCC(=O)O)C(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)N1,0.86,macrocyclic
CHEMBL569447,CC(=O)NCCCC[C@@H]1NC(=O)C[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc3cccc4ccccc34)NC(=O)[C@H](CCCCCC(=O)O)NC1=O,0.72,macrocyclic
CHEMBL569174,CC(C)C[C@H]1CC(=O)N[C@@H](CCCCCNC(=O)C)C(=O)N[C@@H](CCCCCC(=O)O)C(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)N1,0.86,macrocyclic
CHEMBL223255,CC(=O)Nc1cc2OCCCCCOc3nc(NC(=O)Nc2cc1Cl)cnc3C#N,0.03,macrocyclic
CHEMBL2381161,CC(=O)Nc1ccc(CCCC[C@@H]2C[C@@H]3C[C@]4(O2)O[C@H](CCC4(C)C)CC(=O)O[C@@H](CO)CC(=O)O3)cc1O,0.77,macrocyclic
CHEMBL2381160,CC(=O)Nc1ccc(O)cc1CCCC[C@@H]2C[C@@H]3C[C@]4(O2)O[C@H](CCC4(C)C)CC(=O)O[C@@H](CO)CC(=O)O3,0.63,macrocyclic
CHEMBL42402,CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(OCCCCCC(=O)N[C@@H](C(C)C)C(=O)N1)cc2)S(=O)(=O)c3ccc(NC(=O)C)cc3,0.13,macrocyclic
CHEMBL252520,CC(=O)Oc1cccc2c3ccnc(C4=C\C\5=C\C\C=C/CCCCN6CCC4[C@]7(C[C@@H]8\C=C/CCCCN8[C@@H]57)C6)c3[nH]c12,0.78,macrocyclic
CHEMBL3650143,CC(C)[C@H]1NC(=O)[C@@H](C)NC(=O)[C@H](NC(=O)C[C@H](OC(=O)C[C@@H]1O)\C=C\CCSC(=O)C)C(C)C,0.97,macrocyclic
CHEMBL3628322,CC(C)[C@H]1NC(=O)C[C@H](OC(=O)Cn2cc(nn2)[C@H](NC(=O)[C@@H](Cc3ccccc3)NC1=O)C(C)C)\C=C\CCSC(=O)C,0.39,macrocyclic
CHEMBL3628323,CC(C)[C@H]1NC(=O)C[C@H](OC(=O)Cn2cc(nn2)[C@H](NC(=O)[C@@H](Cc3cn(C)cn3)NC1=O)C(C)C)\C=C\CCSC(=O)C,0.49,macrocyclic
CHEMBL3650145,CC(C)[C@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)NC(=O)C[C@H](OC(=O)CNC1=O)\C=C\CCSC(=O)C,0.75,macrocyclic
CHEMBL3771206,CC(C)[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c3ccc(CNC(=O)C[C@H](OC1=O)\C=C\CCSC(=O)C)cc3,0.89,macrocyclic
CHEMBL3929155,CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CCCCCCC(=O)NC[C@H](NC1=O)C(=O)N,0.57,macrocyclic
CHEMBL3916893,CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CCCCCCC(=O)NCC[C@H](NC1=O)C(=O)N,0.55,macrocyclic
CHEMBL3973267,CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CCCCCCC(=O)NCCC[C@H](NC1=O)C(=O)N,0.54,macrocyclic
CHEMBL3943751,CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CCCCCCC(=O)NCCCC[C@H](NC1=O)C(=O)N,0.54,macrocyclic
CHEMBL3907817,CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2csc3ccccc23)NC(=O)CCCCCCC(=O)NC[C@H](NC1=O)C(=O)N,0.56,macrocyclic
CHEMBL3935771,CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2csc3ccccc23)NC(=O)CCCCCCC(=O)NCC[C@H](NC1=O)C(=O)N,0.53,macrocyclic
