chembl_compound_id,canonical_smiles,np_likeness (NP-Scout),macrocyclic_label
CHEMBL3786746,CC(=O)NCc1cccc(c1)S(=O)(=O)NC(=O)c2[nH]c3c(c(Cl)ccc3c2CCCOc4cc(C)c(Cl)c(C)c4)c5c(C)nn(C)c5C,0.03,
CHEMBL1091757,CC(=O)Nc1cc(\N=N\c2ccc(NC(=O)c3ccc(N)cc3)cc2C)c(cc1\N=N\c4ccc(cc4)\N=N\c5ccc(cc5)S(=O)(=O)O)S(=O)(=O)O,0.09,
CHEMBL405174,CC(=O)Nc1cc2ccccc2cc1C(=O)N[C@H](Cc3ccccc3)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N,0.57,
CHEMBL332355,CN(Cc1ccccc1)Cc2c(sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c23)c5ccccc5)c6ccc(NC(=O)C)cc6,0,
CHEMBL392405,CN1N(C(=O)C(=C1C)CN(CCc2ccc(Cl)cc2)C3CCN(CC3)C(=O)c4c(F)cccc4F)c5ccc(NC(=O)C)cc5,0,
CHEMBL3216408,Cl.Cl.Cl.Cl.CN(C)c1cc(C)nc2c(OCc3c(Cl)ccc(N(C)C(=O)CNC(=O)\C=C\c4ccc(NC(=O)C)c(C)c4)c3Cl)cccc12,0.03,
CHEMBL328131,CN(C(=O)CNC(=O)\C=C\c1ccc(NC(=O)C)nc1)c2ccc(Cl)c(COc3cccc4c(cc(C)nc34)N5CCOCC5)c2Cl,0.03,
CHEMBL98458,CN(C(=O)CNC(=O)\C=C\c1ccc(NC(=O)C)nc1)c2ccc(Cl)c(COc3cccc4c(OCc5ccccn5)cc(C)nc34)c2Cl,0.01,
CHEMBL555976,Cl.Cl.CC(=O)Nc1ccc(\C=C\C(=O)NCc2cccn2c3ccc(NC(=O)C)c(COc4cccc5ccc(C)nc45)c3NC(=O)C)cn1,0.12,
CHEMBL2059797,CC(=O)Nc1ccc(C[C@@H](NC(=O)N2CCC(CC2)N3C(=O)Nc4ccccc34)C(=O)N5CCC(CC5)N6CCCCC6)cc1,0.08,
CHEMBL3684460,CC(=O)Nc1ccc(cc1)S(=O)(=O)NC2CCN(Cc3ccc(cc3)c4nnc5c6ccccc6Nc7ncccc7n45)CC2,0,
CHEMBL1897478,CC(=O)Nc1ccc(c2C=C(\C(=N\Nc3ccc(\N=N\c4ccc(cc4)S(=O)(=O)O)c5ccc(cc35)S(=O)(=O)O)\C(=O)c12)S(=O)(=O)O)S(=O)(=O)O,0.1,
CHEMBL3805335,CC(=O)Nc1ccc2C(=O)N(CCCCN3CCC(CC3)Nc4nc5ccccc5n4Cc6ccc(F)cc6)C(=O)c7cccc1c27,0.01,
CHEMBL24111,CC(=O)Nc1ccc2N=C(N(Cc3ccc(cc3)c4ccccc4c5nn[nH]n5)C(=O)c2c1)c6ccc(cc6)c7ccccc7C(=O)O,0.03,
CHEMBL3678471,CC(=O)Nc1cccc(c1)c2ccc(Cn3c(CC(C)(C)C(=O)O)nc4cc(OCc5ccc6ccccc6n5)ccc34)cc2,0.24,
CHEMBL3219267,CC(=O)Nc1cccc(c1)C2CCN(Cc3ccc(cc3C(F)(F)F)C(=O)c4nc5ccccc5n4c6ccc(F)cc6)CC2,0.01,
CHEMBL1276095,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]2CN(C(=O)O2)c3cccc(NC(=O)C)c3)S(=O)(=O)c4ccc5OCOc5c4,0.14,
CHEMBL141661,CC(=O)Nc1cccc(Nc2c3ccc(NC(=O)CCN4CCCC4)cc3nc5cc(NC(=O)CCN6CCCC6)ccc25)c1,0.04,
CHEMBL3781492,CC(=O)Nc1cnc2ccc(cc2c1Nc3ccc(N4CCN(CC4)S(=O)(=O)C)c(c3)C(F)(F)F)c5cnc6ccccc6c5,0,
CHEMBL398141,CC(=O)Nc1nc(Cc2nnc(SCSc3nnc(Cc4csc(NC(=O)C)n4)n3NC(=O)c5ccc(Cl)cc5)n2NC(=O)c6ccc(Cl)cc6)cs1,0.01,
CHEMBL395553,CC(=O)Nc1nc(Cc2nnc(SCSc3nnc(Cc4csc(NC(=O)C)n4)n3NC(=O)c5ccccc5)n2NC(=O)c6ccccc6)cs1,0.01,
CHEMBL572811,CC(=O)Nc1nc(Cl)c2c(ncn2[C@@H]3O[C@H](COC(=O)C)[C@@H](OCc4ccccc4)[C@@]5(OCc6ccccc6)[C@H](CO[C@@H]35)OCc7ccccc7)n1,0.14,
CHEMBL233934,CC(=O)Nn1c(Cc2csc(NC(=O)c3ccccc3)n2)nnc1SCSc4nnc(Cc5csc(NC(=O)c6ccccc6)n5)n4NC(=O)C,0.01,
CHEMBL233935,CC(=O)Nn1c(Cc2csc(NCCC(=O)O)n2)nnc1SCSc3nnc(Cc4csc(NCCC(=O)O)n4)n3NC(=O)C,0,
CHEMBL3221249,C[C@@H]1C[C@H](OC2=C1[C@@]3(C)CC[C@@]45C[C@@]46CC[C@H](O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)C(C)(C)[C@@H]6CC[C@H]5[C@]3(C)[C@H]2O)[C@H](OC(=O)C)C(C)(C)O,1,
CHEMBL3221250,C[C@@H]1C[C@H](O[C@H]2[C@H]1[C@@]3(C)CC[C@@]45C[C@@]46CC[C@H](O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)C(C)(C)[C@@H]6CC[C@H]5[C@]3(C)C2=O)[C@H](OC(=O)C)C(C)(C)O,1,
CHEMBL3221464,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)C7(C)COC7)[C@H](OC(=O)C)C(C)(C)O,0.99,
CHEMBL3221462,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)[C@@H]7CCCN7)[C@H](OC(=O)C)C(C)(C)O,1,
CHEMBL3221461,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)CCC(=O)O)[C@H](OC(=O)C)C(C)(C)O,1,
CHEMBL3221460,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)Cc7ccccn7)[C@H](OC(=O)C)C(C)(C)O,0.99,
CHEMBL3221478,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)N7CCOCC7)[C@H](OC(=O)C)C(C)(C)O,0.6,
CHEMBL3221471,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)NC7CCC7)[C@H](OC(=O)C)C(C)(C)O,0.77,
CHEMBL3221472,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)NC7CNC7)[C@H](OC(=O)C)C(C)(C)O,0.78,
CHEMBL3221473,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)NC7COC7)[C@H](OC(=O)C)C(C)(C)O,0.77,
CHEMBL3221476,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)NCC(=O)O)[C@H](OC(=O)C)C(C)(C)O,0.791669270368478,
CHEMBL3221469,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)NCCN(C)C)[C@H](OC(=O)C)C(C)(C)O,0.76,
CHEMBL3221470,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)NCCN7CCOCC7)[C@H](OC(=O)C)C(C)(C)O,0.58,
CHEMBL3221474,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)NCc7ccccn7)[C@H](OC(=O)C)C(C)(C)O,0.73,
CHEMBL3221457,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)c7ccccn7)[C@H](OC(=O)C)C(C)(C)O,0.99,
CHEMBL3221458,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)c7cccnc7)[C@H](OC(=O)C)C(C)(C)O,1,
CHEMBL3221459,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)OC(=O)c7ccncc7)[C@H](OC(=O)C)C(C)(C)O,0.99,
CHEMBL3221450,C[C@@H]1C[C@H](O[C@@H]2[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]3(C)[C@@H]12)O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H](OC(=O)C)C(C)(C)O,1,
CHEMBL505374,C[C@H](CCCc1ccccc1)\C=C\CCC(=O)O[C@@H]2[C@@H](O)[C@@]3(CCC[C@@H](OC(=O)C)[C@H](C)Cc4ccccc4)O[C@H](C(=O)O)[C@@](O)(C(=O)O)[C@@]2(O3)C(=O)O,0.98,
CHEMBL3642045,CC(=O)O[C@@]12CCN([C@@H]1N(C(=O)C)c3ccc(OC(=O)NCCCCCCNc4c5CCCCc5nc6ccccc46)cc23)C(=O)C,0.15,
CHEMBL3961215,CC(C)C(=O)O[C@H]1[C@@H](C)C[C@@]2(OC(=O)C)[C@H]1[C@@H](OC(=O)C)[C@@]34CO[C@@](C)([C@@H]2OC(=O)C)[C@@H]3[C@@H]5[C@@H](C[C@]5(C)OC(=O)C)[C@@H](OC(=O)C)C4=O,0.99,
CHEMBL3298988,C[C@H]1C[C@@]23O[C@@]2(\C=C(/C)\[C@@H](OC(=O)c4ccccc4)[C@H](OC(=O)c5cccnc5)[C@H]6[C@@H]([C@@H](OC(=O)C)[C@@H](C)C3=O)C6(C)C)[C@H]1OC(=O)C,1,
CHEMBL3613285,CC(=O)O[C@@H]1[C@@H](COP(=O)(OCCSC(=O)C(C)(C)C)OCCSC(=O)C(C)(C)C)O[C@H]([C@H](OC(=O)C)[C@H]1OC(=O)C)S(=O)(=O)N,0.25,
CHEMBL1829522,CC(=O)O[C@H]1[C@H](C[C@](C)(O)[C@]23OC(C)(C)[C@H](C[C@H](OC(=O)c4cocc4)[C@]12C)[C@H]3OC(=O)c5ccccc5)OC(=O)c6ccccc6,1,
CHEMBL3577218,C[C@@H]1C[C@H](OC(=O)c2ccccc2)[C@H](OC(=O)C)[C@@]3(C)[C@H](C[C@@H]4[C@@H](ON5C(=O)CCC5=O)[C@]13OC4(C)C)OC(=O)c6ccccc6,0.8,
CHEMBL3955249,C[C@H]1C[C@@]2(OC(=O)C)[C@H]([C@H]1OC(=O)c3ccccc3)[C@@H](OC(=O)C)[C@@]45CO[C@@](C)([C@@H]2OC(=O)C)[C@@H]4[C@H](C=CC5=O)C(C)(C)OC(=O)C,1,
CHEMBL3577215,CC(=O)O[C@H]1C[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C\c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]2(C)[C@H]1OC(=O)C)[C@H]3O,1,
CHEMBL3391990,C[C@@H]1C[C@@]2(O[C@H]3C[C@@]4(C)[C@@H]5CC[C@H]6C(C)(C)[C@H](CC[C@@]67C[C@@]57C[C@@H](OC(=O)C)[C@]4(C)[C@@H]13)O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)O[C@H](O)[C@@]9(C)O[C@@H]29,1,
CHEMBL3898848,CC(C)C(=O)OC[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)C)[C@@]3(C)OC4=C([C@H](O)[C@H]23)C(=O)OC(=C4)c5cccnc5)OC(=O)C(C)C,1,
CHEMBL3264179,C[C@H](CCCNCCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6CC(=O)CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C,0.25,
CHEMBL3264178,C[C@H](CCCNCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6CC(=O)CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C,0.22,
CHEMBL3264504,C[C@H](CCCN(C)CCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@@H](CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)N(C)C)OC(=O)C,0.23,
CHEMBL3264503,C[C@H](CCCN(C)CCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@@H](CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)N(C)C)OC(=O)C,0.22,
CHEMBL3264498,C[C@H](CCCNCCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@@H](CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)N(C)C)OC(=O)C,0.29,
CHEMBL3264497,C[C@H](CCCNCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@@H](CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)N(C)C)OC(=O)C,0.28,
CHEMBL4091673,C[C@H](CCCN(C)CCCCNc1ccnc2ccccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@H](N)CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C,0.67,
CHEMBL3264502,C[C@H](CCCN(C)CCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@H](N)CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C,0.34,
CHEMBL3264501,C[C@H](CCCN(C)CCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@H](N)CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C,0.32,
CHEMBL4092633,C[C@H](CCCNCCCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@H](N)CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C,0.31,
CHEMBL4070794,C[C@H](CCCNCCCCNc1ccnc2ccccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@H](N)CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C,0.71,
CHEMBL3264500,C[C@H](CCCNCCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@H](N)CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C,0.31,
CHEMBL3264499,C[C@H](CCCNCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@H](N)CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C,0.29,
CHEMBL3264188,C[C@H](CCCNCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@@H](CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)NC(=O)OC(C)(C)C)OC(=O)C,0.1,
CHEMBL3264191,C[C@H](CCCN(C)CCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@@H](CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)NS(=O)(=O)C)OC(=O)C,0.15,
CHEMBL3264187,C[C@H](CCCNCCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@@H](CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)NS(=O)(=O)C)OC(=O)C,0.15,
CHEMBL3264186,C[C@H](CCCNCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@@H](CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)NS(=O)(=O)C)OC(=O)C,0.15,
CHEMBL3264175,C[C@H](CCCNCCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@H](O)CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C,0.42,
CHEMBL3264174,C[C@H](CCCNCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@H](O)CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C,0.43,
CHEMBL3775153,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C\c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]12C)[C@H]3OC(=O)C6CC6,1,
CHEMBL3775788,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C\c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]12C)[C@H]3OC(=O)CBr,0.95,
CHEMBL3775215,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C\c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]12C)[C@H]3OC(=O)CCC(=O)OCCO,1,
CHEMBL3774634,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C\c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]12C)[C@H]3OC(=O)CCl,0.96,
CHEMBL3774407,CN(C)C(=O)O[C@@H]1[C@H]2[C@H](OC(=O)\C=C\c3ccccc3)[C@H](OC(=O)c4ccccc4)[C@]5(C)[C@H](CC[C@](C)(O)[C@@]15OC2(C)C)OC(=O)C,0.79,
CHEMBL3775128,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C/c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]12C)[C@H]3OC(=O)c6ccccc6,1,
CHEMBL3774590,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C\c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]12C)[C@H]3OC(=O)c6ccccc6,1,
CHEMBL3774695,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C\c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]12C)[C@H]3OC(=O)c6cccnc6,1,
CHEMBL3775696,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C/c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]12C)[C@H]3OC(=O)c6cnccn6,0.98,
CHEMBL3775926,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C\c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]12C)[C@H]3OC(=O)c6cnccn6,0.98,
CHEMBL3577217,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C/c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]12C)[C@H]3OC(=O)C,1,
CHEMBL499498,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C\c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]12C)[C@H]3OC(=O)C,1,
CHEMBL3775566,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C\c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]12C)[C@H]3OS(=O)(=O)C,0.77,
CHEMBL3775786,CC(=O)O[C@H]1CC[C@](C)(OC(=O)CN2CCOCC2)[C@]34OC(C)(C)[C@H]([C@H](OC(=O)\C=C\c5ccccc5)[C@H](OC(=O)c6ccccc6)[C@]13C)[C@H]4OC(=O)C,0.6740013234233543,
CHEMBL3775652,CC(C)CNCC(=O)O[C@@]1(C)CC[C@H](OC(=O)C)[C@@]2(C)[C@@H](OC(=O)c3ccccc3)[C@@H](OC(=O)\C=C\c4ccccc4)[C@@H]5[C@@H](OC(=O)C)[C@]12OC5(C)C,0.75,
CHEMBL3775564,CC(=O)O[C@H]1CC[C@](C)(OC(=O)C)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)\C=C\c4ccccc4)[C@H](OC(=O)c5ccccc5)[C@]12C)[C@H]3OC(=O)C,1,
CHEMBL3736171,C[C@H](CCC(=O)N1Cc2[nH]c3ccccc3c2C[C@H]1C(=O)O)[C@H]4CC[C@H]5[C@@H]6CC=C7C[C@H](CC[C@]7(C)[C@H]6CC[C@]45C)OC(=O)C,0.92,
CHEMBL3264183,C[C@H](CCCN(C)CCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@@H](CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C)OC(=O)C,0.23,
CHEMBL3264171,C[C@H](CCCNCCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@@H](CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C)OC(=O)C,0.25,
CHEMBL450398,C[C@H](CCCNCCNc1ccnc2cc(Cl)ccc12)[C@H]3CC[C@H]4[C@@H]5[C@@H](C[C@@H]6C[C@@H](CC[C@]6(C)[C@H]5C[C@H](OC(=O)C)[C@]34C)OC(=O)C)OC(=O)C,0.22,
CHEMBL2375604,CC(C)C(=O)OC[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)c3ccc(cc3)C#N)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)OC(=O)C,0.82,
CHEMBL2375692,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](C[C@H](OC(=O)c3ccc(cc3)C#N)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)[C@]1(C)COC(=O)c7ccccc7,0.81,
CHEMBL2375698,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](C[C@H](OC(=O)C)[C@@]3(C)OC4=C([C@H](O)[C@H]23)C(=O)OC(=C4)c5cccnc5)[C@]1(C)COC(=O)c6ccccc6,1,
CHEMBL4103964,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(=O)OCCCn6c(CCC(=O)O)cc7ccccc67)C1(C)C,0.77,
CHEMBL4086043,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(=O)OCCn6c(CCC(=O)O)cc7ccccc67)C1(C)C,0.78,
CHEMBL1689277,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)NC(=O)NS(=O)(=O)C(F)(F)F)C1(C)C,0.34,
CHEMBL1797010,C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)C)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2[C@H]1C)C(=O)OC[C@H](O)[C@H]6OC(=O)C(=C6O)O,1,
CHEMBL4081122,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(=O)OCCCn6c(CCC(=O)O)cc7ccccc67)C1(C)C,0.77,
CHEMBL4099157,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(=O)OCCn6c(CCC(=O)O)cc7ccccc67)C1(C)C,0.78,
CHEMBL1796878,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C4[C@@H]5CC(C)(C)CC[C@@]5(CC[C@@]34C)C(=O)OC[C@H](O)[C@H]6OC(=O)C(=C6O)O)C1(C)C,1,
CHEMBL3895667,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](C[C@H](OC(=O)c3ccc(cc3)C#N)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)[C@@]1(C)C(=O)O,0.78,
CHEMBL506715,CC(=CC(=O)C[C@@H]1[C@@H]2[C@H](C[C@]3(CO)C4=CC[C@@H]5[C@](C)(CC[C@@H](OC(=O)C)[C@@]5(C)C(=O)O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H]4C[C@H](O)[C@@]23C)OC1=O)C,1,
CHEMBL2375706,CC(C)C(=O)O[C@H]1CC[C@@]2(C)[C@@H](C[C@H](OC(=O)c3ccc(cc3)C#N)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)[C@]1(C)COC(=O)C,0.82,
CHEMBL2375707,CC(=O)OC[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)c3ccc(cc3)C#N)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)OC(=O)c7ccccc7,0.81,
